video_id,start,end,text
FadYoPac3FQ,65,75,"Electro EDM track with a quirky female artist, some synth loops and rapid bass line. Great for house parties."
aCdSVrtp2r8,106,116,Peppy afro beats and chorus monotonous female vocals over groovy beats played on traditional percussions.
akEJocbK6Iw,93,103,"Pop rock track with male lead vocals, distorted guitar riffs and drum beats. The track sounds soothing."
7fFVa6oC_rY,95,105,"Hip-hop rap track accompanied by both male and female vocal, with rhythmic electronic beats. Ideal for freestyling."
AD_9tsM14Iw,114,124,High-energy hip-hop track with a rapping male voice over thumping bass and synth layers.
gXBlFqQKSMY,143,153,A hip-hop track with multiple synth layers by a male rapper and backing rappers. Compiled with trap beats.
BVdn12f99xI,123,133,"EDM music with horn lead , ideal music for lifting mood and giving a good vibe."
5hq9fF18KC8,101,111,"Mood lifting  Alternative Rock track with male vocals, electric guitar, synth layers and strong drums in the background."
XFCQlZlXhmc,97,107,Hip-hop track with low-tempo synth lines and loop vocals. Great for action movie sequence.
zeDpuschD9U,92,102,Dance-pop with multuple male vocals and synth layers best for commercials.
68xnmhjuarw,109,119,Dance-pop with male vocals and synth layers that sets up the vibe perfectly for a nightclub.
m-1fdlw6uDA,102,112,"Positive feeling pop music with catchy female vocal, drum and synth sound."
NjSdqx3W1yw,93,103,A classical folk instrumental that sounds tropical and jazzy at the same time with saxophone and drum snare beats.
KBOiaJJ2eLQ,124,134,"Rock track with male vocals, electric guitar riffs, tight bass, backing synth layers and drums. Gives a trippy vibe at concerts."
MAf60hzsK90,118,128,"RnB Jamaican music with afro style vocals, indigenous percussions, bass and synth pads."
_vMXe1zsHFQ,101,111,"Spirited pop number featuring a male vocal, various synth layers and fast beats. The track feels groovy."
gUmLB5p7hBk,154,164,Instrumental rock track with a Latin style acoustic guitar solo over an energetic drum and bass backing track.
YxHM5I_abOs,211,221,"Hip-hop music with vocals, synth and drum beats. Ideal music for chilling."
omK9uH2gfwg,116,126,"Rap song featuring strong electronic beats, numerous synth layers, and male vocals. Creates the right atmosphere for a party."
cOSfEr7r2Jk,88,98,"Rapid and unrefined compilations of vocals and sounds with rock guitar, female vocalization and rapid drums and bass line."
HQdmbzK4pUk,237,247,Grunge music with male rappers and mechanical synth layers and trap beats.
dV8ejW20-Po,104,114,"High energy dubstep club music with synth sound effects, synth bass and thumbing beats. Party song at its best."
ZdNXusnx6C4,105,115,An EDM hip-hop track that is a dance party essential featuring a telephonic male rapper over trap beats.
63Ik6fgit44,102,112,Energetic retro pop music with gorgeous female vocal and synth.
feoGGCgtI9I,219,229,"Alternative/Indie song with fresh male vocals, Rock 'n' Roll guitar riffs, bass and tight drums."
51XX3MoeCUA,113,123,"Hip-hop track featuring a male lead rapper an orchestral synth string section, bass beat, and reverb claps."
3SyngeKJtkk,115,125,Energetic pop-rock track in a foreign language with a syncopated bass groove and high-drive guitar rhythm.
uK0Atp2H3VM,71,81,"A classic hip-hop song that is energetic and enthusiastic in nature by a male rapper with compilations of synth bass, snare drum and backing vocals."
ibyr9aa_Ns4,121,131,"A soft rock track featuring a female vocalist with some soft guitar, piano, and drums."
89C2bHZsl9Q,65,75,"A shrill dubstep edm track with subtle claps, a male vocal accent, and a deep bass drop. Fantastic for rave events."
co6Vx6bn2o4,143,153,"Liberating rock music with distorted guitar riff, power packed male vocal, drum and bass."
spr1Nc0HVVw,132,142,"A radical hip-hop track with dubstep beats and upbeat rap, which would go really well for freestyle dance."
bvcsX-w1BCA,128,138,"A piece of progressive rock with a stunning guitar riff, male vocals, and backing alto singers and drums. Giving a whole Nickleback vibe."
SEKv2Hn3lTQ,104,114,Rock music with male vocals and punchy drums. A passionate melody track with layers of synth.
t4Um-YQ2yJ4,130,140,"Trap music with lead rap male vocals, with groovy bass, drums, and cool synth sounds. The layered synth in the background gives an enigmatic effect."
gvDMTeFgbkM,92,102,"Soul music with jazz drums, deep male vocals, backup vocals, some guitar and mellow bass line. Ideal for slow dance."
hnNdJXv-FwM,111,121,"Cool R n B music with chill vibe rap male vocal, drum beat and bass."
AxgW5qASmk8,137,147,Very soothing mind relaxing flute music accompanied by sequenced drum groove.
dMfAvaZj9yw,134,144,"Instrumental track with congo, acoustic percussion and other electronic layers has a reggae vibe."
VBNLxgxbCQY,123,133,"Alternative Rock track with male vocals, electric guitar lining, synth layers and a strong drum section in the background. The track sets an uplifting mood."
_UvRCGrEWdo,105,115,"Electronically produced track accompanied by processed female vocal, evokes passion."
lBORdm8LmK0,127,137,A cheerful reggae track with a groovy bass line and reverberating Congo beats with husky male vocals.
e4RmTtbyESU,109,119,Lively RnB hip-hop track with syncopated synth keyboard lines and upbeat drumming and jivey vocals.
IvQVOo-PgWU,73,83,Electronic music with a laid-back female vocal layer over a throbbing bass line and trap beats.
Yse6iHwbVc0,113,123,"Rock music with passionate male vocal, sweet sounding guitar, drum and bass. Sounds like RHCP."
RdU7HdvR8J4,157,167,"An Electronic Rap music that has vocals, synth, drums and bass. The song has a dynamic soundscape."
i9HoFU0PEK0,72,82,A hip-hop pop track with sweet bell effects and trap beats by a male artist in a monotone.
rtB_qZODdfs,109,119,"A mixture of rap and rock music, with both a rapper and a vocalist in a foreign language. Coupled with guitar, drums and piano ballad."
wgvj9z4lT4Y,141,151,"Rock music with distorted guitars, drum rolls and bass sounds. The track depicts intense emotion."
yWIsliC_iF8,110,120,Rhythmic pop song featuring a nasal male lead vocal over just a simple acoustic guitar strumming in the background.
YedcoJfAEgc,73,83,"Keyboard soft keys, synth layers and deep bass to this foreign rap song by a male artist."
NqqnctfTTvM,130,140,"A foreign rap track by multiple male rappers with mellow keyboard tunes, claps, and bass layers."
cZCScnOOYhs,104,114,"Live show recording of a pop-rock song featuring muddy vocals over electric guitars, drum and bass. The loud crowd cheers can be heard."
Pk_H5nDtsl0,96,106,"Chill R n b track with laid back male vocal, drum beat and bass."
rr8pyhXlUtI,103,113,"Mixed instrumental track with drum beats, acoustic bass and wind instrument sound rhythm. Great for contemporary dancing."
6mM9kA42VuA,90,100,"Sedated soul music by a male artist in a foreign language, with just an acoustic guitar."
ohef89xSAm4,102,112,Soulful world music with groovy drum beat and gorgeous lady vocal.
qpzjB2FpAHY,115,125,"Contemporary electro-pop song with a soothing, autotuned male vocal over enigmatic synth elements and synth bass layers. The song resembles the sound scape of Own City."
Yjl85IJSmbA,197,207,"A pop song with male vocals, sound effects, bass and drums. Perfect for lounge."
OmWlaThE5_Q,100,110,Afro-style electronic song with autotuned male vocals over marching drum beats.
kkQiCcZ7tJA,115,125,A thrilling foreign pop dance song featuring a female artist with electro beats and deep bass.
Fa4qwUgu2J4,111,121,"Death metal track with grungy male vocals, fuzzy guitar riff and heavy drums that have high energy."
0r0RS2aFDK0,164,174,"An Electronic Rock music that has vocals and Rap, synth, drums and bass. The song is Crawling by Linkin Park that conveys a sense of longing or nostalgia."
qgvOXTKuuqk,75,85,Instrumental trance music featuring synth bass grooves and trippy pad layers.
oL7Ut18jN4E,164,174,"Beneath the surface is a song by Dream Theatre that has a soothing vocal, ambient synth and guitar layers. The song conveys a sense of longing or nostalgia."
r2wR25HepRY,77,87,Pugnacious rap track in some exotic language over trap beats and thumping bass drops. The song has a harrowing effect.
7MDDvjYCxKY,183,193,"Rock track with female vocals, electric guitar riffs, tight bass, backing synth layers and drums. The Church Organ has a haunting sound effect."
95hrOanOSFo,100,110,EDM track with synth lines and heavy bass and techno beats that is ideal for lounge parties.
PVhpj3P68bU,152,162,Pop-rock track with dynamic drumming and a wholesome strings section playing in the background.  The passionate vocals evoke a feeling of longingness.
3qqBiKNInKk,82,92,"High-spirited Hip-hop rap song with male vocal layers, synth and bass lines. The beats are great for a street dance."
ca89_yYdVYk,87,97,"A rock song with male vocals in a foreign language, crunchy electric guitar, bass and drums. The violin solo on the track makes it a bright and charming song."
bhBCFpR-e28,92,102,Afro music with a combination of tribal percussion and electro beats. The male voice is highly autotuned and sounds mechanical.
Ewdap2FX-uE,112,122,Electronica pop song with a slightly processed female lead vocal over a syncopated synth bass layer and other synth pad layers.
oDSDWJvdBm8,124,134,"Rock music with energetic male vocals, electric guitar, bass and punchy drums. Great for crowd surfing."
rZiYs6jRHdE,114,124,"Arena rock music with a sense of festivity accompanied by lead catchy vocal phrase, guitar , drum and bass."
XNSqijpGWzc,74,84,Electronic pop with modulated male vocals with synth sounds and deep bass and soft beats. Great for clubs.
d5BcksB68xg,120,130,"Duet soft Pop track featuring both male and female vocals, synth layers and acoustic percussion.  Evokes an expression of love."
YtzPUzHgFC8,123,133,"An electronic rave party track with an intense drop bass, layers of synth and beats."
JsxWoL_Z-e8,86,96,Soulful mind refreshing music with orchestral instruments. Ideal music to meditate.
1ESVYheuObM,94,104,"A piece of classic blues in a foreign language with trumpets, echo, and reverb guitar, and soft drums."
RRCzPHagAJ4,90,100,Hip-hop music with lead male rap vocals with synth and electronic drums and bass. An oriental mandolin-like layer makes the song stand out.
76CY5oWLtec,94,104,A very stimulating hip-hop track with a lot of backing rap notes and a lead male rapper in a foreign language. Some gothic synth lines and trap beats.
6aio9cydb7g,106,116,"Sensual RnB track by a male artist with very smooth head voice, some piano in the mix with bass drums."
-7ZNCXFCxUQ,112,122,"Pop track with male vocals, electronic beats and synth layers which is great for a summer party."
na7F5sNWqSQ,141,151,"EDM party track with a synth pad and autotuned female vocals, is played at discos."
jcnRrcDbNnc,111,121,A pop song featuring female vocals and various synth layers. The track has a passionate approach.
jXelUqwDtCM,127,137,"Alternative pop track with modulated vocal, accompanied by synth layers and electronically produced music. Creates a sense of happiness and fun."
2BT39totsKQ,139,149,A relaxing Rock Pop Ballad track with sweet male vocals over synth pad and guitar and drums.
8kFgxwwfYG4,131,141,Electro tropical music with trap beats and synth layers by a male artist.
A1695gxEm6I,57,67,"Intense, rebellious rap track with aggressive male rapping over hollow drum beats."
dIUf0PoaI40,83,93,A male vocalist raps soulfully on this groovy hip-hop track. Creates a laid-back ambiance.
DiDrlzRwLdQ,114,124,"An instrumental piece of rock track with a melancholy feel and soft generic tone. With drums, and a strong bass line."
eldjU_SKAHU,130,140,"Mid tempo hip hop music with drum , bass and rap male vocal. I deal music for late night DJ set."
KUbEHVQXxu8,174,184,Very expressive traditional music with classic male vocal in a foreign language and Arabian beats with congo.
dmBQBRXF3P8,111,121,"Rock music with melodious male vocals, accompanied by harmonious back vocals, synth layers, drums and electric guitar. The track sounds pleasing to hear."
BaAGOk7cOhY,120,130,"Upbeat mood lifting EDM music with bright synth tone , drum beat and male vocal."
wIzSejha8q8,123,133,Trap music with multiple synth layers that gives contrast to the male foreign rapper.
RlQWXlwT0dg,228,238,An instrumental compilation of classical drums and classical string instruments. Sounds confusing and very noisy.
yPnt5tH-ZJs,162,172,"Pop music with happy sounding female vocal, vocal harmonies, synth, drum."
ND3KBuAvIPs,143,153,"Sweet, melodious acoustic guitar solo track. Really soothing to the ears."
CvjdEPoMcCE,87,97,"Hip hop music with impactful synth sounds , strong rap male vocal and trippy drum beat. Ideal music for hip hop battles."
3x-i-KjTRB0,123,133,"Hip-hop track featuring a female rapper over electronic beats, synth lines, and deep bass. Perfect for relaxation."
vjdnp-CEgM8,65,75,"This track has dynamic synth beats, some bass line, and a male rapper with grungy vocals and angry feel."
qIWV0n-Rsy0,130,140,Joyful pop number with male vocals over synth layers. The mix has a party effect.
tQbrV2Xlt6o,105,115,A Chinese folk classical piece with a female vocalist and soft drums and slow-paced electric guitar plucking.
BQq44iWrOVM,132,142,"A chill pop track by a female artist, with a rising synth layer, and piano. Great for Clubs."
rPlsF7NWv0w,122,132,"Hip-hop track with male rapping vocals, bass, synth and electronic beats. Great for dancing."
c6gTcwOCzW0,100,110,"Hip-hop with dark, psychedelic beats, male rap vocals, and synth. The song has a trance-like vibe."
kyWHsuue8CI,101,111,Female vocals on a Latin pop song with accordion playing in the background and a jovial rhythmic segment. Sounds cheerful.
xd1TXImdSeM,122,132,"A soothing pop song with pleasing male vocals, guitar and a melodious whistle sound."
yn_Oxl1cjQo,82,92,Grunge music with male rappers and monotonic synth layer and trap beats.
ymnceFInJnU,89,99,Electronically produced track with male vocal and various synth layers. Best for pubs.
RBddaV6uK08,138,148,Rock 'n' roll track with a baritone female vocal over a groovy bass line and keyboard lines.
x4vz7qSQ4DU,98,108,"Spirited gypsy-style song with a exotic female vocalist singing the melody, the song has the vibe of a journey through the desert."
YUVYjX5mQI4,107,117,"Cool R n B music with chill and groovy drum beat, subby bass, synth lead and rap male vocal."
BPChRwp8pb0,75,85,"Hip-hop dance music with a high energy level, synth layers and modulated male vocals. Its best for parties."
0F54dQb3dEg,94,104,Lo- fi chill hip hop music with synth and rap male vocal.
l-mMY4si81o,82,92,"Trap track with a male vocal, deep bass and various layers of synth.  It has an emotional dark vibe."
Kxwdg46j9p8,95,105,"Enthusiastic electro pop music with high-pitched, autotuned vocals, snare hits and multiple synth pads and effects."
Ga-xNAxNtpo,138,148,"Contemporary love ballad song with passionate duet vocals over high drive guitars, drum and bass, and a large string section."
1A6Tl3Wqo4I,176,186,"Drums, guitar, and deep male vocals on reggae music. The perfect music for jiving."
AyYhYi9RhvM,83,93,"Hip-hop music with catchy synth, rap male vocals and beats. Ideal music for lounge."
D-kLoOJrHdk,102,112,"Arabian hip-hop track with strong, dominant male rap with backing vocals with horns and synth bass."
bXAP5i-xeRg,70,80,A lively pop song with clean drumming and a string section playing in the background. Best for listening while driving alone.
tbM3tm77q0Q,107,117,"Electro-pop track, with male vocals, synth layer and electronic pad beats. Has a positive vibe."
gRKzFMRviAs,94,104,Trance pop track with modulated vocals and synth bass and beats. Great vibes for nightclubs.
SADgtNP44Ug,96,106,A female artist singing to jazzy RnB tunes of synth layer keyboard. Ideal for lounge parties.
n9nXviCwJy0,131,141,Rebellious hip-hop track with electronic trap beats and impactful male vocals.
nADjnrI7WBA,95,105,flat vocals to this hip-hop track by a female artist with piano as the main music.
XZgQRJCCEPA,185,195,"A very soft opening lines in piano, leading up to strong male vocals rapping. Ideal for freestyling."
rcm1pcN8lo4,126,136,"Soft Pop featuring romantic female vocals, piano layers and soft beats.  Sounds fresh and mellow."
uPtYBq8JAFs,94,104,"High-spirited pop-rock track featuring male vocals in an upbeat rhythm. Drums, electronic beats, and synth lines gives a happy vibe."
RiLDEarCjR0,62,72,"A simple catchy rock tune with mind refreshing male vocals, bass , guitar and drums."
s5JsTdnaiKY,175,185,Party Hip-hop track with male vocals and backing voices and layers of synth effects with deep bass. Perfect for clubs.
GZkcRSz7MYc,175,185,Electro music with synth lead and drum groove Sounds like Infected Mushroom.
m7VeMs4CENg,84,94,"Heavy metal track with extreme male growling, dramatic drum beats and strong guitar riffs. Perfect for starting a mosh-pit"
pzR03NE94cM,139,149,"A female speaker with hip-hop music in the background, sounds like a scene in an interview."
7Qax3vZmJbA,73,83,"Pop rock track with male lead vocals, backing vocals, distorted guitar riffs and drum beats. The track gives a relaxing effect."
AHEuRhzadGI,112,122,"Irish flute music accompanied by heavy guitar riffs, drums and bass. Ideal fusion music for driving in the highway."
zdmqN1S4UA8,115,125,Soothing electric guitar solo over simple drum beats and groovy bass line. Great for slow dancing.
lq2sqUYabI4,99,109,"Uplifting pop song with bass, drums, and soaring female vocals. Amplifies the mood."
BffPo2qBk8Q,119,129,Contemporary pop songs mixed with each other to make an EDM track with synth bass and drums creating a party track.
0vDBcXOw7ko,105,115,Fast-paced rapping by male rapper over a mild piano line and trap beats.
2WmRHir9UqM,108,118,"A peppy song with female artists singing in a very quirky way, with violin and electric guitar, drums and bass line."
UflTTAITPH8,78,88,"A pop rap track with layered beats, bass guitar, synth layers and a male vocal. Ideal for listening while traveling."
Vur74XAdiME,98,108,"Male rap vocals, multiple layers of synth, and assonance components are all incorporated in this trap music. There is a darker emotional side to it."
yO7OaYZO2yg,73,83,"Hard rock high energy music with grunge metal music , distorted guitar, bass and drums."
A2lBmPNID8Q,88,98,"Uptempo dance music with hip hop drum groove, rap male vocal followed by a female filler vocal."
gNNZPEtg_Dk,109,119,Contemporary pop song in a kiddish female voice over electro beats and synth layers.
kI-cxPWQXto,117,127,"Rock music featuring powerful vocals, electric and acoustic guitars, and soothing drum beats."
iaJSqnUELAc,88,98,"Chorus, harmonious rapping over an acoustic guitar rhythm and bongo beats. Gives out a camp-fire kind of vibe."
GlarAT-kaNo,157,167,Rap song in hip-hop vibing with a powerful electronic beat and a male vocal. Excellent for freestyle locking and popping.
3gsaINUdB8o,120,130,"Rock music with beautiful crunchy guitar, bass, drums and male vocals. The track is pleasant and smooth to the ears."
QcUojlMBv0o,97,107,"EDM track with a synth loop, bass and beats. Great track for parties."
DIHGs-w5lJ8,79,89,"Hard rock music with growling rock vocals, drum and bass sound."
bU7vJRZzE6g,107,117,"Electro pop music with energetic female vocal, arp synth and bass."
Ai3kDIEUMVA,85,95,Upbeat chill lounge feel hip hop music with rap male vocal and drum groove.
tjpMIRHMO9c,127,137,"R n b music dope  bass line, synth and catchy drum beat."
iaBGF5tHJLA,129,139,Intense hip hop music with strong male rap vocal and synth sound.
YFBS3sqht6U,104,114,"Electronic hip-hop track that features a male rapper, synth layers, electronic bass and beats. Apt for B-boying/B-girling."
N9eCxJMmuhM,100,110,High spirited pop track with male vocal accompanied by electronically produced beats and synth layers. Creates a motivational vibe.
dLuYZTjusWs,88,98,Old school rock music with perfect rock guitar solo like Slash.
pZTsNO4Et7I,105,115,"An Indian Raga track with classically trained vocals, groovy bass and other Indian instruments. Sounds like an improvisational song."
Ng6SzwF8os4,58,68,High festive party music with techno trance music arrangement followed by female vocal.
9ESV4ksc_wI,99,109,Afro-style hip-hop track with gibberish male rapping over heavy bass drops and trap beats.
HOCHkk_idOI,81,91,"Hard rock song with heavy drums and guitar elements and powerful vocals, great for headbanging."
FIejH8HW3eg,121,131,Hip-hop track featuring male rapping vocals and electronic beats. Great for dancing.
DfFJfpYPMqQ,105,115,"A hip-hop track in a foreign language by a male artist, with reverb synth, bass line and drum pads."
wWv_V5m2Qu8,110,120,Trap music with synth and auto-tuned vocalization. Some snare pads and deep bass line.
aGrT0fzuBfI,90,100,Heavy metal with screaming male vocals and double pedal drums and bass line.
1yT32TGwxw4,114,124,Happy vibe EDM music with lead synth and arp lines.
Ple-U-vzP_0,105,115,"Up-tempo pop track featuring male vocal, accompanied by a synth layer and acoustic percussion. Has a clubbing vibe."
hKNJYWznSq0,235,245,"EDM pop music ideal for party playlist accompanied by impactful female vocal, synth, drum and bass."
hGHwJACOhYQ,92,102,"A Pop rock song that has tasteful female vocals, gives a cheerful feeling."
FodKmltCQco,104,114,"Hip-hop track with multiple layers of progressed vocals, electronic synth lining and beats, great for crazy house parties."
HTzDsoeltD8,106,116,"Pop Rock song with sharp female vocals, guitar riff, synth, tight bass and drums. Has a melancholic vibe."
p7vb-OiaTCk,101,111,A vibrant pop track with drums beats and synth-based rhythmic layers. Creates a celebratory mood.
IJVgBPKFyZc,123,133,"Rock music with male vocals, crunchy guitar riffs, drum rolls and bass enhances the energy and mood."
7zQ3CjvCa0U,123,133,"Alternative Japanese rock track with a whole band set up of drums, electric guitar, and bass to give this track a feeling of betrayal and deep sadness."
sZ85KpQIBIM,110,120,Pop song with female lead vocals and electronic synth and beats. Best for drink parties.
AX7q8tLmx14,88,98,"Hard metal music with a lot of high energy distorted guitar, drum and bass."
_wAEPrkyvO8,119,129,"Power rock track with stong lead male vocals, guitar riffs, drums and chorus. The song has a liberating feeling."
8GYO_Js-MOw,159,169,Progressive rock piece of music with a male vocalist in a foreign language with very high vocalrange.
BB074F8lJrk,131,141,"Intense Hip-hop track featuring male rapping, a dissonant synth section, and electronic beats."
hqTgK-21GKM,157,167,"Vibrant pop-rock song with male vocals and an uplifting beat. Drums, electronic beats, and synthesiser lines create a joyful atmosphere."
z4CZtAbKKAM,85,95,Pop melody track with passionate male vocals with overdriven synth tones that goes perfectly as a party track.
8mPfmCsc1A4,158,168,"Modern pop track with grungy male vocals over groovy drum beats, electric guitar riffs and synthesizer layers."
KE8OxEovPfo,85,95,"High energetic punk rock track with powered male vocal, distorted guitar, drum and bass."
4H9RCUuwhQo,111,121,"Urban pop track with tropical drum beat, bass , synth layers and sensual female vocal."
z8d8zuFrNsk,135,145,Hip-hop track with modulated vocals and electronic synth and beats. Great for street dancing.
psZQ3T8OqVI,105,115,"Trap song with multiple male vocals, dense bass and drum beats and synth effects. Perfect for midnight dope parties."
2Xw3kNwQFlY,109,119,Electro-pop song with repetitive lyrics sung by a female vocalist. The groovy EDM beats create a party spirit.
alpHGimDmLs,114,124,"Hard rock music with energetic rock vocal, electric lead guitar, drum and bass. Sounds like AC DC."
DtgG5TYou8s,99,109,Profoundly deep bass to this modern pop track  with snare synth pads and female vocalization.
OtXUvnkFAxg,183,193,"Pop rock track with vocals, drums and guitar riff that is gives a negetive vibe."
oO0gMIkm2fc,96,106,"Alternative rock track with screaming male vocals, electric guitar riff, bass and drum beats that adds a rock vibe to it."
2YgJWZ2QsiM,119,129,"Provoking Hip-hop track with smooth male rapping over bass, synth and trap music.  The lyrics seem to be sentimental."
6dpKEClYdGA,140,150,"Grungy electric guitars, bass, and percussion are used in this pop-rock song. Song has echoes of Avril Lavigne songs from the early 2000s."
vBqoI_4em_o,126,136,"Alternative energetic mood relaxing music with male vocal,distorted guitar and bass."
8si7mfUYemY,124,134,"A Pop song with vocals, synth and beats that is best for relaxing."
n4mIHlMCtYY,93,103,"Contemporary pop track with electronica elements including synth bass, synth drums and bass. The husky male vocals are accompanied by a telephonic voice effect."
3lGHDDQ3rPg,92,102,"Hip-hop track with male vocals, electronic bass, drums and synth. Great for break dancing."
luH9jS3_QhE,116,126,"Ambient contemporary pop song with a echoing, husky female lead vocal over swinging electric guitars and atmospheric synth sound effects."
2N2HrG28GM0,126,136,"Pop music with female lead vocals, Rnb type synth, groovy bass with beat. Ideal for chilling."
cpvlGGaylCc,87,97,"A lighthearted hip-hop track showcasing a male rapper , complimented by ambient synthesizers."
6PpfHmp45uQ,108,118,"Jivey Latin pop song with a prominent grand piano section nicely complimented by hand clapped rhythm, drums and bass. The baritone female vocals evoke a sensuous feeling."
PwVuhx5Zm94,122,132,Hip-hop track with a male lyrical vocal over a pounding bass line and synth layers.
o9ABg3UZ5is,139,149,Melodious hip-hop song with autotuned female vocals along with chorus rapping over EDM beats.
NmZFic0VvRY,145,155,Hip-hop rap track with rapping male vocals accompanied by busy synth bass lines. Sends out an overall dancing vibe at concerts.
AeLuzzKd-F4,125,135,A very soothing and melodious track with a saxophone solo.
16lyH1IS32Y,132,142,Techno layers of synth lines to this hip-hop track with trap beats and a soaring male rapper. Ideal for rap battles.
Y2n-_Pn7a2I,125,135,"Progressive rock with balanced guitar, drums, and male vocals but is all muffled and stiff."
HQ-CR3jR7LE,134,144,"Hip-hop music with lead rap male vocals, groovy locking bass, drums, and cool synth sounds. The rhythm sets the mood for parties."
WKuQZUnoViM,124,134,"Off-beat and flat rap song in a foreign language, with a reverbed bass line, an accordion, a male rapper, and backing rap."
uFXAAK4w-0k,118,128,Hip-hop track with electronic beats and rapping male vocals uses a street-style vibe.
aNYjOVo5IEw,105,115,"An alternative track featuring a melancholic male voice, electric guitar, floating synth section and bass. Great to get a positive vibe."
nt-WoMNg1ng,78,88,Bluesy contemporary pop song featuring an effortless female vocalist over an electric guitar layer.
PMdzX1JzM44,89,99,Hip-hop track with a male rap vocal over a pounding bass line and synth layers.
4SbeFOrEE7A,212,222,"Latin feel merry dance music with percussion, drum beat and vocals."
lqGgqOGCyqA,97,107,"Hard rock song with heavy drums and guitar elements and powerful vocals, great for headbanging."
wjxy3eNjN2I,110,120,"Hip-hop track with smooth-flowing male rapping, synth bass section and electronic beats."
kNNbw8c3fic,125,135,"Groovy pop track with male vocals and rap, filled in with synth layers and trap beats. Great for travel music."
y4QnPrHfT8w,79,89,"Depressing isolating punk rock music with vocal, guitar, drum and bass."
M1oG1z51T5U,97,107,"Slow-paced hip-hop track with synth, electronic beats. Great for hanging out."
ym39xJBGW8s,87,97,"Upbeat hip-hop backing track, with synthetic bass lines and strong male rapping.  Very ambient, wholesome track."
kAZC83s_wT4,123,133,"Alternative rock music with energetic male vocal, guitar , drum  and bass."
OuJrea7eY9k,124,134,"High-tempo pop rock track with strong synth layers, playing in a loop. Ideal for a summer party at the beach."
ARDBDNCtynw,90,100,Rock track featuring a synth organ layer and other synthesized sounds with a melancholic female vocal humming.
tRLxLdkryo4,113,123,Rapid clap and snare drum beats that amplifies this hip-hop track with some high note synth layer and bass line.
